period_info,name,party,district
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αγαπηδάκη Ειρήνη Στυλιανού,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Σκυλακάκης Θεόδωρος Στεφάνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Στυλιανίδης Χρήστος Μέλη,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Λυτρίβη Ιωάννα Δημητρίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Σταμάτης Γεώργιος Αναστασίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Χατζηιωαννίδου Μαρία Νεφέλη Βασιλείου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Πολύζου Μαρία Αθανασίου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ηλιόπουλος Όθων Σταύρου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Ακρίτα Έλενα Λουκή,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Αποστολάκης Ευάγγελος Ευαγγέλου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Τσαπανίδου Παρθένα (Πόπη) Γεωργίου,ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Δουδωνής Παναγιώτης Αριστείδη,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Μάντζος Δημήτριος Σωτηρίου,ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Παφίλης Αθανάσιος Σπυρίδωνα,ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Σαράκης Παύλος Κωνσταντίνου,ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,ΕΠΙΚΡΑΤΕΙΑΣ
Τελευταία σύνθεση ολομέλειας  ΙΘ΄ Περιόδου  (28/05/2023 - 29/05/2023),Πιερρακάκης Κυριάκος Στεφάνου,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Α' ΑΘΗΝΩΝ
